book,chunk_id,text,v,a,d,n_tokens,n_hits,coverage,valence_only,v01,a01,d01
Pride and Prejudice.clean,15,"transformation of Elizabeth's own feelings from positive aversion to actual love. I do not know whether the all-grasping hand of the playwright has ever been laid upon_ Pride and Prejudice; _and I dare say that, if it were, the situations would prove not startling or garish enough for the footlights, the character-scheme too subtle and delicate for pit and gallery. But if the attempt were made, it would certainly not be hampered by any of those loosenesses of construction, which, sometimes disguised by the conveniences of which the novelist can avail himself, appear at once on the stage._ _I think, however, though the thought will doubtless seem heretical to more than one school of critics, that construction is not the highest merit, the choicest gift, of the novelist.",0.080383,-0.069298,0.05933,126,94,0.746032,0.080383,0.5401915,0.465351,0.529665
Pride and Prejudice.clean,16,"certainly not be hampered by any of those loosenesses of construction, which, sometimes disguised by the conveniences of which the novelist can avail himself, appear at once on the stage._ _I think, however, though the thought will doubtless seem heretical to more than one school of critics, that construction is not the highest merit, the choicest gift, of the novelist. It sets off his other gifts and graces most advantageously to the critical eye; and the want of it will sometimes mar those graces--appreciably, though not quite consciously--to eyes by no means ultra-critical.",0.117116,-0.038725,0.094841,93,69,0.741935,0.117116,0.558558,0.4806375,0.5474205
Pride and Prejudice.clean,17,"though the thought will doubtless seem heretical to more than one school of critics, that construction is not the highest merit, the choicest gift, of the novelist. It sets off his other gifts and graces most advantageously to the critical eye; and the want of it will sometimes mar those graces--appreciably, though not quite consciously--to eyes by no means ultra-critical. But a very badly-built novel which excelled in pathetic or humorous character, or which displayed consummate command of dialogue--perhaps the rarest of all faculties--would be an infinitely better thing than a faultless plot acted and told by puppets with pebbles in their mouths.",0.098,-0.025487,0.105961,108,76,0.703704,0.098,0.549,0.4872565,0.5529805
Pride and Prejudice.clean,18,"want of it will sometimes mar those graces--appreciably, though not quite consciously--to eyes by no means ultra-critical. But a very badly-built novel which excelled in pathetic or humorous character, or which displayed consummate command of dialogue--perhaps the rarest of all faculties--would be an infinitely better thing than a faultless plot acted and told by puppets with pebbles in their mouths. And despite the ability which Miss Austen has shown in working out the story, I for one should put_ Pride and Prejudice _far lower if it did not contain what seem to me the very masterpieces of Miss Austen's humour and of her faculty of character-creation--masterpieces who may indeed admit John Thorpe, the Eltons, Mrs.",0.08739,-0.033598,0.084244,120,82,0.683333,0.08739,0.543695,0.483201,0.542122
Pride and Prejudice.clean,19,"with pebbles in their mouths. And despite the ability which Miss Austen has shown in working out the story, I for one should put_ Pride and Prejudice _far lower if it did not contain what seem to me the very masterpieces of Miss Austen's humour and of her faculty of character-creation--masterpieces who may indeed admit John Thorpe, the Eltons, Mrs. Norris, and one or two others to their company, but who, in one instance certainly, and perhaps in others, are still superior to them._ _The characteristics of Miss Austen's humour are so subtle and delicate that they are, perhaps, at all times easier to apprehend than to express, and at any particular time likely to be differently apprehended by different persons.",0.103271,-0.099235,0.014188,117,85,0.726496,0.103271,0.5516355,0.4503825,0.507094
Pride and Prejudice.clean,20,"and one or two others to their company, but who, in one instance certainly, and perhaps in others, are still superior to them._ _The characteristics of Miss Austen's humour are so subtle and delicate that they are, perhaps, at all times easier to apprehend than to express, and at any particular time likely to be differently apprehended by different persons. To me this humour seems to possess a greater affinity, on the whole, to that of Addison than to any other of the numerous species of this great British genus.",0.134627,-0.111179,0.015284,84,67,0.797619,0.134627,0.5673135,0.4444105,0.507642
Pride and Prejudice.clean,21,"so subtle and delicate that they are, perhaps, at all times easier to apprehend than to express, and at any particular time likely to be differently apprehended by different persons. To me this humour seems to possess a greater affinity, on the whole, to that of Addison than to any other of the numerous species of this great British genus. The differences of scheme, of time, of subject, of literary convention, are, of course, obvious enough; the difference of sex does not, perhaps, count for much, for there was a distinctly feminine element in ""Mr. Spectator,"" and in Jane Austen's genius there was, though nothing mannish, much that was masculine.",0.130293,-0.07978,0.061024,104,82,0.788462,0.130293,0.5651465,0.46011,0.530512
Pride and Prejudice.clean,22,"other of the numerous species of this great British genus. The differences of scheme, of time, of subject, of literary convention, are, of course, obvious enough; the difference of sex does not, perhaps, count for much, for there was a distinctly feminine element in ""Mr. Spectator,"" and in Jane Austen's genius there was, though nothing mannish, much that was masculine. But the likeness of quality consists in a great number of common subdivisions of quality--demureness, extreme minuteness of touch, avoidance of loud tones and glaring effects. Also there is in both a certain not inhuman or unamiable cruelty.",0.124877,-0.062863,0.079863,96,73,0.760417,0.124877,0.5624385,0.4685685,0.5399315
Pride and Prejudice.clean,23,"was a distinctly feminine element in ""Mr. Spectator,"" and in Jane Austen's genius there was, though nothing mannish, much that was masculine. But the likeness of quality consists in a great number of common subdivisions of quality--demureness, extreme minuteness of touch, avoidance of loud tones and glaring effects. Also there is in both a certain not inhuman or unamiable cruelty. It is the custom with those who judge grossly to contrast the good nature of Addison with the savagery of Swift, the mildness of Miss Austen with the boisterousness of Fielding and Smollett, even with the ferocious practical jokes that her immediate predecessor, Miss Burney, allowed without very much protest. Yet, both in Mr.",0.106848,-0.008291,0.099304,112,79,0.705357,0.106848,0.553424,0.4958545,0.549652
Pride and Prejudice.clean,24,"certain not inhuman or unamiable cruelty. It is the custom with those who judge grossly to contrast the good nature of Addison with the savagery of Swift, the mildness of Miss Austen with the boisterousness of Fielding and Smollett, even with the ferocious practical jokes that her immediate predecessor, Miss Burney, allowed without very much protest. Yet, both in Mr. Addison and in Miss Austen there is, though a restrained and well-mannered, an insatiable and ruthless delight in roasting and cutting up a fool.",0.058255,0.065345,0.086964,81,55,0.679012,0.058255,0.5291275,0.5326725,0.543482
Pride and Prejudice.clean,25,"savagery of Swift, the mildness of Miss Austen with the boisterousness of Fielding and Smollett, even with the ferocious practical jokes that her immediate predecessor, Miss Burney, allowed without very much protest. Yet, both in Mr. Addison and in Miss Austen there is, though a restrained and well-mannered, an insatiable and ruthless delight in roasting and cutting up a fool. A man in the early eighteenth century, of course, could push this taste further than a lady in the early nineteenth; and no doubt Miss Austen's principles, as well as her heart, would have shrunk from such things as the letter from the unfortunate husband in the_ Spectator, _who describes, with all the gusto and all the innocence in the world, how his wife and his friend induce him to play at blind-man's-buff.",0.094624,-0.005624,0.042918,129,85,0.658915,0.094624,0.547312,0.497188,0.521459
Pride and Prejudice.clean,26,"further than a lady in the early nineteenth; and no doubt Miss Austen's principles, as well as her heart, would have shrunk from such things as the letter from the unfortunate husband in the_ Spectator, _who describes, with all the gusto and all the innocence in the world, how his wife and his friend induce him to play at blind-man's-buff. But another_ Spectator _letter--that of the damsel of fourteen who wishes to marry Mr.",0.150735,-0.071551,0.016041,74,49,0.662162,0.150735,0.5753675,0.4642245,0.5080205
Pride and Prejudice.clean,27,"as well as her heart, would have shrunk from such things as the letter from the unfortunate husband in the_ Spectator, _who describes, with all the gusto and all the innocence in the world, how his wife and his friend induce him to play at blind-man's-buff. But another_ Spectator _letter--that of the damsel of fourteen who wishes to marry Mr. Shapely, and assures her selected Mentor that ""he admires your_ Spectators _mightily""--might have been written by a rather more ladylike and intelligent Lydia Bennet in the days of Lydia's great-grandmother; while, on the other hand, some (I think unreasonably) have found ""cynicism"" in touches of Miss Austen's own, such as her satire of Mrs. Musgrove's self-deceiving regrets over her son.",0.154437,-0.055175,0.078712,121,80,0.661157,0.154437,0.5772185,0.4724125,0.539356
Pride and Prejudice.clean,28,"Shapely, and assures her selected Mentor that ""he admires your_ Spectators _mightily""--might have been written by a rather more ladylike and intelligent Lydia Bennet in the days of Lydia's great-grandmother; while, on the other hand, some (I think unreasonably) have found ""cynicism"" in touches of Miss Austen's own, such as her satire of Mrs. Musgrove's self-deceiving regrets over her son. But this word ""cynical"" is one of the most misused in the English language, especially when, by a glaring and gratuitous falsification of its original sense, it is applied, not to rough and snarling invective, but to gentle and oblique satire.",0.122986,-0.003451,0.10031,100,71,0.71,0.122986,0.561493,0.4982745,0.550155
Pride and Prejudice.clean,29,"""cynicism"" in touches of Miss Austen's own, such as her satire of Mrs. Musgrove's self-deceiving regrets over her son. But this word ""cynical"" is one of the most misused in the English language, especially when, by a glaring and gratuitous falsification of its original sense, it is applied, not to rough and snarling invective, but to gentle and oblique satire. If cynicism means the perception of ""the other side,"" the sense of ""the accepted hells beneath,"" the consciousness that motives are nearly always mixed, and that to seem is not identical with to be--if this be cynicism, then every man and woman who is not a fool, who does not care to live in a fool's paradise, who has knowledge of nature and the world and life, is a cynic.",0.055279,-0.01493,0.037209,125,86,0.688,0.055279,0.5276395,0.492535,0.5186045
Pride and Prejudice.clean,30,"sense of ""the accepted hells beneath,"" the consciousness that motives are nearly always mixed, and that to seem is not identical with to be--if this be cynicism, then every man and woman who is not a fool, who does not care to live in a fool's paradise, who has knowledge of nature and the world and life, is a cynic. And in that sense Miss Austen certainly was one. She may even have been one in the further sense that, like her own Mr. Bennet, she took an epicurean delight in dissecting, in displaying, in setting at work her fools and her mean persons.",0.13545,-0.126167,0.027,99,60,0.606061,0.13545,0.567725,0.4369165,0.5135
Pride and Prejudice.clean,31,"a fool's paradise, who has knowledge of nature and the world and life, is a cynic. And in that sense Miss Austen certainly was one. She may even have been one in the further sense that, like her own Mr. Bennet, she took an epicurean delight in dissecting, in displaying, in setting at work her fools and her mean persons. I think she did take this delight, and I do not think at all the worse of her for it as a woman, while she was immensely the better for it as an artist._ _In respect of her art generally, Mr.",0.210186,-0.093949,0.09478,97,59,0.608247,0.210186,0.605093,0.45302549999999997,0.54739
Pride and Prejudice.clean,32,"she took an epicurean delight in dissecting, in displaying, in setting at work her fools and her mean persons. I think she did take this delight, and I do not think at all the worse of her for it as a woman, while she was immensely the better for it as an artist._ _In respect of her art generally, Mr. Goldwin Smith has truly observed that ""metaphor has been exhausted in depicting the perfection of it, combined with the narrowness of her field;"" and he has justly added that we need not go beyond her own comparison to the art of a miniature painter.",0.145556,-0.088063,0.063841,99,63,0.636364,0.145556,0.572778,0.4559685,0.5319205
Pride and Prejudice.clean,33,"was immensely the better for it as an artist._ _In respect of her art generally, Mr. Goldwin Smith has truly observed that ""metaphor has been exhausted in depicting the perfection of it, combined with the narrowness of her field;"" and he has justly added that we need not go beyond her own comparison to the art of a miniature painter. To make this latter observation quite exact we must not use the term miniature in its restricted sense, and must think rather of Memling at one end of the history of painting and Meissonier at the other, than of Cosway or any of his kind.",0.124296,-0.157606,0.03031,100,71,0.71,0.124296,0.562148,0.421197,0.515155
Pride and Prejudice.clean,34,"we need not go beyond her own comparison to the art of a miniature painter. To make this latter observation quite exact we must not use the term miniature in its restricted sense, and must think rather of Memling at one end of the history of painting and Meissonier at the other, than of Cosway or any of his kind. And I am not so certain that I should myself use the word ""narrow"" in connection with her. If her world is a microcosm, the cosmic quality of it is at least as eminent as the littleness.",0.056446,-0.140862,0.011923,91,65,0.714286,0.056446,0.528223,0.429569,0.5059615
Pride and Prejudice.clean,35,"of Memling at one end of the history of painting and Meissonier at the other, than of Cosway or any of his kind. And I am not so certain that I should myself use the word ""narrow"" in connection with her. If her world is a microcosm, the cosmic quality of it is at least as eminent as the littleness. She does not touch what she did not feel herself called to paint; I am not so sure that she could not have painted what she did not feel herself called to touch.",-0.012161,-0.085732,0.041518,89,56,0.629213,-0.012161,0.4939195,0.457134,0.520759
Pride and Prejudice.clean,36,"use the word ""narrow"" in connection with her. If her world is a microcosm, the cosmic quality of it is at least as eminent as the littleness. She does not touch what she did not feel herself called to paint; I am not so sure that she could not have painted what she did not feel herself called to touch. It is at least remarkable that in two very short periods of writing--one of about three years, and another of not much more than five--she executed six capital works, and has not left a single failure.",0.002851,-0.097881,0.006,94,67,0.712766,0.002851,0.5014255,0.4510595,0.503
Pride and Prejudice.clean,37,"herself called to paint; I am not so sure that she could not have painted what she did not feel herself called to touch. It is at least remarkable that in two very short periods of writing--one of about three years, and another of not much more than five--she executed six capital works, and has not left a single failure. It is possible that the romantic paste in her composition was defective: we must always remember that hardly anybody born in her decade--that of the eighteenth-century seventies--independently exhibited the full romantic quality. Even Scott required hill and mountain and ballad, even Coleridge metaphysics and German to enable them to chip the classical shell.",0.077233,-0.115047,0.047744,115,86,0.747826,0.077233,0.5386165,0.4424765,0.523872
Pride and Prejudice.clean,38,"and has not left a single failure. It is possible that the romantic paste in her composition was defective: we must always remember that hardly anybody born in her decade--that of the eighteenth-century seventies--independently exhibited the full romantic quality. Even Scott required hill and mountain and ballad, even Coleridge metaphysics and German to enable them to chip the classical shell. Miss Austen was an English girl, brought up in a country retirement, at the time when ladies went back into the house if there was a white frost which might pierce their kid shoes, when a sudden cold was the subject of the gravest fears, when their studies, their ways, their conduct were subject to all those fantastic limits and restrictions against which Mary Wollstonecraft protested with better general sense than particular taste or judgment.",0.123684,-0.031735,0.071173,135,98,0.725926,0.123684,0.561842,0.4841325,0.5355865
Pride and Prejudice.clean,39,"when ladies went back into the house if there was a white frost which might pierce their kid shoes, when a sudden cold was the subject of the gravest fears, when their studies, their ways, their conduct were subject to all those fantastic limits and restrictions against which Mary Wollstonecraft protested with better general sense than particular taste or judgment. Miss Austen, too, drew back when the white frost touched her shoes; but I think she would have made a pretty good journey even in a black one._ _For if her knowledge was not very extended, she knew two things which only genius knows. The one was humanity, and the other was art.",0.126359,-0.023974,0.047321,110,78,0.709091,0.126359,0.5631794999999999,0.488013,0.5236605
Pride and Prejudice.clean,40,"general sense than particular taste or judgment. Miss Austen, too, drew back when the white frost touched her shoes; but I think she would have made a pretty good journey even in a black one._ _For if her knowledge was not very extended, she knew two things which only genius knows. The one was humanity, and the other was art. On the first head she could not make a mistake; her men, though limited, are true, and her women are, in the old sense, ""absolute."" As to art, if she has never tried idealism, her realism is real to a degree which makes the false realism of our own day look merely dead-alive.",0.15436,-0.080667,0.06492,112,75,0.669643,0.15436,0.57718,0.4596665,0.53246
Pride and Prejudice.clean,41,"was humanity, and the other was art. On the first head she could not make a mistake; her men, though limited, are true, and her women are, in the old sense, ""absolute."" As to art, if she has never tried idealism, her realism is real to a degree which makes the false realism of our own day look merely dead-alive. Take almost any Frenchman, except the late M. de Maupassant, and watch him laboriously piling up strokes in the hope of giving a complete impression. You get none; you are lucky if, discarding two-thirds of what he gives, you can shape a real impression out of the rest.",0.131141,-0.052789,0.07607,107,71,0.663551,0.131141,0.5655705,0.4736055,0.538035
Pride and Prejudice.clean,42,"which makes the false realism of our own day look merely dead-alive. Take almost any Frenchman, except the late M. de Maupassant, and watch him laboriously piling up strokes in the hope of giving a complete impression. You get none; you are lucky if, discarding two-thirds of what he gives, you can shape a real impression out of the rest. But with Miss Austen the myriad, trivial, unforced strokes build up the picture like magic. Nothing is false; nothing is superfluous. When (to take the present book only) Mr. Collins changed his mind from Jane to Elizabeth ""while Mrs. Bennet was stirring the fire"" (and we know_ how _Mrs. Bennet would have stirred the fire), when Mr.",0.1405,-0.03273,0.049473,114,74,0.649123,0.1405,0.57025,0.483635,0.5247365
Pride and Prejudice.clean,43,"of the rest. But with Miss Austen the myriad, trivial, unforced strokes build up the picture like magic. Nothing is false; nothing is superfluous. When (to take the present book only) Mr. Collins changed his mind from Jane to Elizabeth ""while Mrs. Bennet was stirring the fire"" (and we know_ how _Mrs. Bennet would have stirred the fire), when Mr. Darcy ""brought his coffee-cup back_ himself,"" _the touch in each case is like that of Swift--""taller by the breadth of my nail""--which impressed the half-reluctant Thackeray with just and outspoken admiration.",0.17181,-0.031063,0.032524,91,63,0.692308,0.17181,0.585905,0.4844685,0.516262
Pride and Prejudice.clean,44,"Mr. Collins changed his mind from Jane to Elizabeth ""while Mrs. Bennet was stirring the fire"" (and we know_ how _Mrs. Bennet would have stirred the fire), when Mr. Darcy ""brought his coffee-cup back_ himself,"" _the touch in each case is like that of Swift--""taller by the breadth of my nail""--which impressed the half-reluctant Thackeray with just and outspoken admiration. Indeed, fantastic as it may seem, I should put Miss Austen as near to Swift in some ways, as I have put her to Addison in others._ _This Swiftian quality appears in the present novel as it appears nowhere else in the character of the immortal, the ineffable Mr. Collins. Mr.",0.163944,-0.010833,0.058819,112,72,0.642857,0.163944,0.581972,0.4945835,0.5294095
Pride and Prejudice.clean,45,"impressed the half-reluctant Thackeray with just and outspoken admiration. Indeed, fantastic as it may seem, I should put Miss Austen as near to Swift in some ways, as I have put her to Addison in others._ _This Swiftian quality appears in the present novel as it appears nowhere else in the character of the immortal, the ineffable Mr. Collins. Mr. Collins is really_ great; _far greater than anything Addison ever did, almost great enough for Fielding or for Swift himself. It has been said that no one ever was like him. But in the first place,_ he _was like him; he is there--alive, imperishable, more real than hundreds of prime ministers and archbishops, of ""metals, semi-metals, and distinguished philosophers.""",0.200278,-0.050734,0.106759,120,79,0.658333,0.200278,0.600139,0.47463299999999997,0.5533795
Pride and Prejudice.clean,46,"Mr. Collins is really_ great; _far greater than anything Addison ever did, almost great enough for Fielding or for Swift himself. It has been said that no one ever was like him. But in the first place,_ he _was like him; he is there--alive, imperishable, more real than hundreds of prime ministers and archbishops, of ""metals, semi-metals, and distinguished philosophers."" In the second place, it is rash, I think, to conclude that an actual Mr. Collins was impossible or non-existent at the end of the eighteenth century. It is very interesting that we possess, in this same gallery, what may be called a spoiled first draught, or an unsuccessful study of him, in John Dashwood.",0.115862,-0.085975,0.088163,115,80,0.695652,0.115862,0.557931,0.4570125,0.5440815
Pride and Prejudice.clean,47,"""metals, semi-metals, and distinguished philosophers."" In the second place, it is rash, I think, to conclude that an actual Mr. Collins was impossible or non-existent at the end of the eighteenth century. It is very interesting that we possess, in this same gallery, what may be called a spoiled first draught, or an unsuccessful study of him, in John Dashwood. The formality, the under-breeding, the meanness, are there; but the portrait is only half alive, and is felt to be even a little unnatural. Mr. Collins is perfectly natural, and perfectly alive.",0.087134,-0.108925,0.034642,92,67,0.728261,0.087134,0.543567,0.44553750000000003,0.517321
Pride and Prejudice.clean,48,"It is very interesting that we possess, in this same gallery, what may be called a spoiled first draught, or an unsuccessful study of him, in John Dashwood. The formality, the under-breeding, the meanness, are there; but the portrait is only half alive, and is felt to be even a little unnatural. Mr. Collins is perfectly natural, and perfectly alive. In fact, for all the ""miniature,"" there is something gigantic in the way in which a certain side, and more than one, of humanity, and especially eighteenth-century humanity, its Philistinism, its well-meaning but hide-bound morality, its formal pettiness, its grovelling respect for rank, its materialism, its selfishness, receives exhibition.",0.105987,-0.115654,0.044846,106,78,0.735849,0.105987,0.5529935,0.442173,0.522423
Pride and Prejudice.clean,49,"a little unnatural. Mr. Collins is perfectly natural, and perfectly alive. In fact, for all the ""miniature,"" there is something gigantic in the way in which a certain side, and more than one, of humanity, and especially eighteenth-century humanity, its Philistinism, its well-meaning but hide-bound morality, its formal pettiness, its grovelling respect for rank, its materialism, its selfishness, receives exhibition. I will not admit that one speech or one action of this inestimable man is incapable of being reconciled with reality, and I should not wonder if many of these words and actions are historically true._ _But the greatness of Mr.",0.110057,-0.090086,0.090714,97,70,0.721649,0.110057,0.5550285,0.454957,0.545357
